Sample,Population
NA19654,Ad Mixed American
NA19655,Ad Mixed American
NA19656,Ad Mixed American
NA19657,Ad Mixed American
NA19658,Ad Mixed American
NA19659,Ad Mixed American
NA19660,Ad Mixed American
NA19661,Ad Mixed American
NA19662,Ad Mixed American
NA19663,Ad Mixed American
NA19664,Ad Mixed American
NA19665,Ad Mixed American
NA19669,Ad Mixed American
NA19670,Ad Mixed American
NA19671,Ad Mixed American
NA19672,Ad Mixed American
NA19674,Ad Mixed American
NA19675,Ad Mixed American
NA19676,Ad Mixed American
NA19677,Ad Mixed American
NA19678,Ad Mixed American
NA19679,Ad Mixed American
NA19680,Ad Mixed American
NA19681,Ad Mixed American
NA19682,Ad Mixed American
NA19683,Ad Mixed American
NA19684,Ad Mixed American
NA19685,Ad Mixed American
NA19686,Ad Mixed American
NA19700,African
NA19701,African
NA19702,African
NA19703,African
NA19704,African
NA19705,African
NA19707,African
NA19708,African
NA19711,African
NA19712,African
NA19713,African
NA19714,African
NA19716,Ad Mixed American
NA19717,Ad Mixed American
NA19718,Ad Mixed American
NA19719,Ad Mixed American
NA19720,Ad Mixed American
NA19721,Ad Mixed American
NA19722,Ad Mixed American
NA19723,Ad Mixed American
NA19724,Ad Mixed American
NA19725,Ad Mixed American
NA19726,Ad Mixed American
NA19727,Ad Mixed American
NA19728,Ad Mixed American
NA19729,Ad Mixed American
NA19730,Ad Mixed American
NA19731,Ad Mixed American
NA19732,Ad Mixed American
NA19733,Ad Mixed American
NA19734,Ad Mixed American
NA19735,Ad Mixed American
NA19737,Ad Mixed American
NA19738,Ad Mixed American
NA19740,Ad Mixed American
NA19741,Ad Mixed American
NA19742,Ad Mixed American
NA19746,Ad Mixed American
NA19747,Ad Mixed American
NA19748,Ad Mixed American
NA19749,Ad Mixed American
NA19750,Ad Mixed American
NA19751,Ad Mixed American
NA19752,Ad Mixed American
NA19753,Ad Mixed American
NA19754,Ad Mixed American
NA19755,Ad Mixed American
NA19756,Ad Mixed American
NA19757,Ad Mixed American
NA19758,Ad Mixed American
NA19759,Ad Mixed American
NA19760,Ad Mixed American
NA19761,Ad Mixed American
NA19762,Ad Mixed American
NA19763,Ad Mixed American
NA19764,Ad Mixed American
NA19766,Ad Mixed American
NA19770,Ad Mixed American
NA19771,Ad Mixed American
NA19772,Ad Mixed American
NA19773,Ad Mixed American
NA19774,Ad Mixed American
NA19775,Ad Mixed American
NA19776,Ad Mixed American
NA19777,Ad Mixed American
NA19778,Ad Mixed American
NA19779,Ad Mixed American
NA19780,Ad Mixed American
NA19781,Ad Mixed American
NA19782,Ad Mixed American
NA19783,Ad Mixed American
NA19784,Ad Mixed American
NA19785,Ad Mixed American
NA19786,Ad Mixed American
NA19787,Ad Mixed American
NA19788,Ad Mixed American
NA19789,Ad Mixed American
NA19790,Ad Mixed American
NA19792,Ad Mixed American
NA19794,Ad Mixed American
NA19795,Ad Mixed American
NA19796,Ad Mixed American
NA19797,Ad Mixed American
NA19798,Ad Mixed American
NA19818,African
NA19819,African
NA19828,African
NA19834,African
NA19835,African
NA19836,African
NA19900,African
NA19901,African
NA19902,African
NA19904,African
NA19905,African
NA19908,African
NA19909,African
NA19913,African
NA19914,African
NA19915,African
NA19916,African
NA19917,African
NA19918,African
NA19919,African
NA19920,African
NA19921,African
NA19922,African
NA19923,African
NA19924,African
NA19982,African
NA19983,African
NA19984,African
NA19985,African
NA20126,African
NA20127,African
NA20128,African
NA20129,African
NA20274,African
NA20276,African
NA20277,African
NA20278,African
NA20279,African
NA20281,African
NA20282,African
NA20284,African
NA20285,African
NA20287,African
NA20288,African
NA20289,African
NA20290,African
NA20291,African
NA20292,African
NA20294,African
NA20295,African
NA20296,African
NA20297,African
NA20298,African
NA20299,African
NA20300,African
NA20301,African
NA20302,African
NA20312,African
NA20313,African
NA20314,African
NA20316,African
NA20317,African
NA20318,African
NA20319,African
NA20320,African
NA20321,African
NA20322,African
NA20332,African
NA20333,African
NA20334,African
NA20335,African
NA20336,African
NA20337,African
NA20339,African
NA20340,African
NA20341,African
NA20342,African
NA20343,African
NA20344,African
NA20345,African
NA20346,African
NA20347,African
NA20348,African
NA20349,African
NA20350,African
NA20351,African
NA20355,African
NA20356,African
NA20357,African
NA20358,African
NA20359,African
NA20360,African
NA20361,African
NA20362,African
NA20363,African
NA20364,African
NA20412,African
NA20413,African
NA20414,African
NA20502,European
NA20503,European
NA20504,European
NA20505,European
NA20506,European
NA20507,European
NA20508,European
NA20509,European
NA20510,European
NA20511,European
NA20512,European
NA20513,European
NA20514,European
NA20515,European
NA20516,European
NA20517,European
NA20518,European
NA20519,European
NA20520,European
NA20521,European
NA20522,European
NA20524,European
NA20525,European
NA20526,European
NA20527,European
NA20528,European
NA20529,European
NA20530,European
NA20531,European
NA20532,European
NA20533,European
NA20534,European
NA20535,European
NA20536,European
NA20537,European
NA20538,European
NA20539,European
NA20540,European
NA20541,European
NA20542,European
NA20543,European
NA20544,European
NA20581,European
NA20582,European
NA20585,European
NA20586,European
NA20587,European
NA20588,European
NA20589,European
NA20752,European
NA20753,European
NA20754,European
NA20755,European
NA20756,European
NA20757,European
NA20758,European
NA20759,European
NA20760,European
NA20761,European
NA20762,European
NA20763,European
NA20764,European
NA20765,European
NA20766,European
NA20767,European
NA20768,European
NA20769,European
NA20770,European
NA20771,European
NA20772,European
NA20773,European
NA20774,European
NA20775,European
NA20778,European
NA20783,European
NA20785,European
NA20786,European
NA20787,European
NA20790,European
NA20792,European
NA20795,European
NA20796,European
NA20797,European
NA20798,European
NA20799,European
NA20800,European
NA20801,European
NA20802,European
NA20803,European
NA20804,European
NA20805,European
NA20806,European
NA20807,European
NA20808,European
NA20809,European
NA20810,European
NA20811,European
NA20812,European
NA20813,European
NA20814,European
NA20815,European
NA20816,European
NA20818,European
NA20819,European
NA20821,European
NA20822,European
NA20826,European
NA20827,European
NA20828,European
NA20829,European
NA20831,European
NA20832,European
NA20845,South Asian
NA20846,South Asian
NA20847,South Asian
NA20849,South Asian
NA20850,South Asian
NA20851,South Asian
NA20852,South Asian
NA20853,South Asian
NA20854,South Asian
NA20856,South Asian
NA20858,South Asian
NA20859,South Asian
NA20861,South Asian
NA20862,South Asian
NA20863,South Asian
NA20864,South Asian
NA20866,South Asian
NA20867,South Asian
NA20868,South Asian
NA20869,South Asian
NA20870,South Asian
NA20871,South Asian
NA20872,South Asian
NA20873,South Asian
NA20874,South Asian
NA20875,South Asian
NA20876,South Asian
NA20877,South Asian
NA20878,South Asian
NA20879,South Asian
NA20881,South Asian
NA20882,South Asian
NA20883,South Asian
NA20884,South Asian
NA20885,South Asian
NA20886,South Asian
NA20887,South Asian
NA20888,South Asian
NA20889,South Asian
NA20890,South Asian
NA20891,South Asian
NA20892,South Asian
NA20893,South Asian
NA20894,South Asian
NA20895,South Asian
NA20896,South Asian
NA20897,South Asian
NA20898,South Asian
NA20899,South Asian
NA20900,South Asian
NA20901,South Asian
NA20902,South Asian
NA20903,South Asian
NA20904,South Asian
NA20905,South Asian
NA20906,South Asian
NA20907,South Asian
NA20908,South Asian
NA20909,South Asian
NA20910,South Asian
NA20911,South Asian
NA21086,South Asian
NA21087,South Asian
NA21088,South Asian
NA21089,South Asian
NA21090,South Asian
NA21091,South Asian
NA21092,South Asian
NA21093,South Asian
NA21094,South Asian
NA21095,South Asian
NA21097,South Asian
NA21098,South Asian
NA21099,South Asian
NA21100,South Asian
NA21101,South Asian
NA21102,South Asian
NA21103,South Asian
NA21104,South Asian
NA21105,South Asian
NA21106,South Asian
NA21107,South Asian
NA21108,South Asian
NA21109,South Asian
NA21110,South Asian
NA21111,South Asian
NA21112,South Asian
NA21113,South Asian
NA21114,South Asian
NA21115,South Asian
NA21116,South Asian
NA21117,South Asian
NA21118,South Asian
NA21119,South Asian
NA21120,South Asian
NA21121,South Asian
NA21122,South Asian
NA21123,South Asian
NA21124,South Asian
NA21125,South Asian
NA21126,South Asian
NA21127,South Asian
NA21128,South Asian
NA21129,South Asian
NA21130,South Asian
NA21133,South Asian
NA21134,South Asian
NA21135,South Asian
NA21137,South Asian
NA21141,South Asian
NA21142,South Asian
NA21143,South Asian
NA21144,South Asian
